Name,X,Y,Source
Castle Greg,305020,659250,https://canmore.org.uk/site/48988/castle-greg
Kaims Castle,286080,712950,https://canmore.org.uk/site/25365/kaims-castle
Glenbank,281210,705700,https://canmore.org.uk/site/25236/glenbank
Midgate,302100,720400,http://www.theromangaskproject.org/?page_id=39
